Word,Accuracy,Correct,Total
2,1.0,27,27
9,1.0,8,8
8,1.0,7,7
6,1.0,25,25
4,0.8571,6,7
3,1.0,33,33
7,1.0,5,5
0,1.0,9,9
many,0.9091,10,11
has,0.3333,2,6
from,1.0,13,13
me,1.0,9,9
find,0.7,7,10
its,0.9167,11,12
day,0.8182,9,11
could,0.25,1,4
those,0.6471,11,17
study,1.0,9,9
usually,0.9,9,10
5,1.0,26,26
part,0.6364,7,11
form,0.9,18,20
make,0.5,4,8
also,0.7500,6,8
will,0.8889,8,9
every,0.625,10,16
when,1.0,7,7
that,1.0,13,13
come,0.4815,13,27
does,0.9565,22,23
no,1.0,10,10
often,0.8537,35,41
even,0.9545,21,22
would,0.6786,19,28
back,0.7083,17,24
into,0.9,9,10
for,0.8,16,20
the,0.9444,17,18
well,0.5455,6,11
I,1.0,25,25
each,0.2857,2,7
were,0.9286,13,14
map,0.6429,9,14
large,1.0,9,9
government,1.0,17,17
give,0.8125,13,16
may,0.9091,10,11
is,0.8065,25,31
must,0.6316,12,19
place,0.5,5,10
my,0.9697,32,33
example,0.5714,4,7
own,0.3333,2,6
through,0.7727,17,22
number,0.875,7,8
good,1.0,26,26
too,1.0,13,13
why,0.5000,4,8
while,1.0,11,11
how,0.7917,19,24
keep,0.875,7,8
there,0.8824,15,17
a,1.0,9,9
without,0.75,9,12
if,0.913,21,23
help,1.0000,31,31
family,0.9,9,10
not,0.9259,25,27
since,0.9,9,10
which,0.7143,10,14
film,0.9643,27,28
other,0.7,7,10
people,1.0000,17,17
still,0.7727,17,22
history,1.0,6,6
air,0.7143,5,7
start,0.1667,1,6
to,0.8947,17,19
sure,0.75,9,12
much,0.6667,6,9
hi,0.9667,29,30
go,0.1429,1,7
computer,0.8571,6,7
more,1.0,7,7
important,0.8,4,5
their,0.8636,19,22
any,1.0,17,17
or,1.0,28,28
we,1.0,8,8
who,0.875,7,8
might,0.4,4,10
then,0.7,7,10
use,0.2222,4,18
